provinceEnglishName,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12
Anhui,0,9,9,39,30,70,106,152,200,237,237,340,408,480,480,591,665,733,779,830,860,889,889,934,950,962,973,982,986,987,988,989,989,989,989,989,989,990,990,990,990,990,990,990,990,NA,990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,991,NA,NA,NA
Beijing,10,14,22,36,42,68,80,91,114,114,156,183,212,212,253,274,274,315,315,337,342,352,352,372,372,380,381,387,393,395,396,399,399,399,400,400,410,410,411,413,414,414,417,418,422,426,428,428,429,435,435,436,437,442,446,455,458,479,485,499,514,522,553,559,565,569,572,576,577,580,580,582,583,585,586,587,587,588,588,588,589,589
China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81059,81063,81100,81138,81204,81301,81416,81501,81566,81692,81847,81896,82037,82164,82283,82423,82506,82601,82691,82772,82857,82899,82966,83039,83095,83189,83264,83324,83400
Chongqing,5,9,9,57,48,110,132,147,165,206,238,262,300,337,366,389,411,426,446,468,486,505,509,529,537,544,551,552,555,560,567,572,573,575,576,576,576,576,576,576,576,576,576,576,576,576,576,576,576,576,576,576,576,576,NA,NA,NA,NA,NA,NA,577,NA,578,NA,NA,NA,NA,579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fujian,1,4,5,18,18,56,73,82,101,120,144,159,179,194,194,215,215,239,250,261,267,272,272,281,285,287,290,292,293,293,293,293,293,293,294,294,296,296,296,296,296,296,296,296,296,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299,303,307,313,318,322,328,331,337,338,340,343,345,345,349,350,350,350,351,351,NA,351,351,352
Gansu,NA,0,2,4,4,14,19,24,26,29,35,40,51,55,57,62,67,71,79,83,86,86,86,NA,90,90,90,91,91,91,91,NA,91,91,NA,91,NA,91,NA,91,91,91,91,102,119,120,124,124,125,127,NA,NA,129,132,NA,NA,NA,134,134,134,136,NA,136,NA,136,136,136,137,NA,NA,138,NA,NA,138,NA,139,NA,139,139,NA,NA,NA
Guangdong,17,32,32,53,51,146,151,241,311,393,520,535,683,797,813,944,1018,1075,1120,1151,1177,1219,1219,1261,1294,1316,1322,1328,1331,1332,1333,1339,1342,1345,1347,1347,1347,1348,1349,1349,1350,1350,1350,1350,1351,1352,1352,1352,1353,1353,1356,1356,1356,1357,1361,1364,1369,1378,1392,1399,1407,1413,1428,1433,1444,1456,1467,1475,1484,1490,1501,1507,1514,1516,1524,1532,1533,1536,1539,1544,1548,1552
Guangxi,0,5,5,23,33,46,51,58,78,87,100,111,127,139,150,168,172,183,195,210,215,222,222,226,235,237,238,242,244,245,246,249,249,251,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,NA,NA,252,253,253,NA,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guizhou,0,3,3,4,5,7,9,9,12,15,NA,38,46,56,58,69,77,89,96,109,118,131,133,140,143,144,146,146,146,146,146,146,146,NA,146,NA,146,NA,NA,NA,146,NA,NA,NA,NA,146,146,146,146,146,146,146,146,NA,146,147,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hainan,0,5,5,17,22,31,40,43,46,49,53,63,71,79,80,99,106,124,128,136,142,151,157,158,162,162,163,163,163,168,168,168,168,168,168,168,168,168,168,168,NA,168,168,168,NA,NA,168,NA,NA,NA,168,NA,NA,NA,168,NA,NA,NA,NA,NA,NA,NA,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
