"","lon","lat"
"Agoura Hills, Los Angeles",-118.7616764,34.1533395
"Alhambra, Los Angeles",-118.1270146,34.095287
"Arcadia, Los Angeles",-118.0353449,34.1397292
"Artesia, Los Angeles",-118.0831212,33.8658484
"Avalon, Los Angeles",-118.3272224,34.1027414
"Azusa, Los Angeles",-117.9075627,34.1336186
"Baldwin Park, Los Angeles",-117.9608978,34.0852868
"Bell, Los Angeles",-118.1870156,33.9775142
"Bell Gardens, Los Angeles",-118.1514588,33.9652918
"Bellflower, Los Angeles",-118.1170117,33.8816818
"Beverly Hills, Los Angeles",-118.4003563,34.0736204
"Bradbury, Los Angeles",-118.2478573,34.050604
"Burbank, Los Angeles",-118.3089661,34.1808392
"Calabasas, Los Angeles",-118.6614809,34.1367208
"Carson, Los Angeles",-118.281693,33.8316745
"Cerritos, Los Angeles",-118.0647871,33.8583483
"Claremont, Los Angeles",-117.7197785,34.0966764
"Commerce, Los Angeles",-118.1597929,34.0005691
"Compton, Los Angeles",-118.2200712,33.8958492
"Covina, Los Angeles",-117.8903397,34.0900091
"Cudahy, Los Angeles",-118.1857858,33.9608646
"Culver City, Los Angeles",-118.3964665,34.0211224
"Diamond Bar, Los Angeles",-117.8103367,34.0286226
"Downey, Los Angeles",-118.1331593,33.9401088
"Duarte, Los Angeles",-117.9772873,34.1394513
"El Monte, Los Angeles",-118.0275667,34.0686206
"El Segundo, Los Angeles",-118.4164652,33.9191799
"Gardena, Los Angeles",-118.3089624,33.8883487
"Glendale, Los Angeles",-118.255075,34.1425078
"Glendora, Los Angeles",-117.865339,34.1361187
"Hawaiian Gardens, Los Angeles",-118.0728424,33.8314045
"Hawthorne, Los Angeles",-118.3525748,33.9164032
"Hermosa Beach, Los Angeles",-118.3995194,33.8622366
"Hidden Hills, Los Angeles",-118.6647537,34.1648798
"Huntington Park, Los Angeles",-118.2250725,33.9816812
"Industry, Los Angeles",-117.9586754,34.0197335
"Inglewood, Los Angeles",-118.3531311,33.9616801
"Irwindale, Los Angeles",-117.9353413,34.1069527
"La Canada Flintridge, Los Angeles",-118.2000277,34.2068182
"La Habra Heights, Los Angeles",-117.9506186,33.9608461
"La Mirada, Los Angeles",-118.0120086,33.9172357
"La Puente, Los Angeles",-117.9495083,34.0200114
"La Verne, Los Angeles",-117.7678355,34.1008426
