,"04/23/20","04/24/20","04/25/20","04/26/20","04/27/20","04/28/20","04/29/20","04/30/20","05/01/20","05/02/20","05/04/20","05/05/20","05/06/20","05/07/20","05/08/20","05/09/20","05/10/20","05/11/20","05/12/20","05/13/20"
"85003",17,17,17,17,17,18,17,18,18,18,18,18,18,18,20,20,19,18,18,17
"85004",6-10,6-10,6-10,6-10,6-10,11,11,12,13,14,16,16,16,16,17,19,20,20,22,19
"85006",6-10,6-10,6-10,6-10,12,12,13,15,16,18,19,23,23,18,26,26,23,27,27,30
"85007",12,11,11,11,11,11,12,14,18,18,18,19,19,22,25,27,27,31,37,39
"85008",52,57,63,64,70,73,76,82,87,97,108,111,115,119,128,138,158,163,166,173
"85009",15,15,16,24,28,28,32,33,36,37,46,49,51,53,56,65,66,68,72,74
"85012",6-10,11,11,11,11,11,11,12,12,12,13,13,13,14,17,16,14,14,13,13
"85013",12,12,12,13,13,13,14,14,15,16,20,21,21,21,22,25,25,30,30,31
"85014",18,19,18,20,19,19,20,21,24,27,35,41,45,47,48,49,51,54,61,77
"85015",23,23,23,24,26,26,27,27,29,32,43,47,53,67,76,83,79,83,96,98
"85016",34,36,40,40,40,41,42,46,46,47,51,53,55,50,53,58,56,57,60,64
"85017",19,21,24,24,24,26,26,29,29,34,38,39,39,43,47,51,59,62,66,65
"85018",25,25,26,27,28,28,28,33,33,40,41,42,42,34,42,44,38,39,39,39
"85019",12,12,13,13,13,13,14,16,16,22,23,27,29,29,33,39,45,47,53,55
"85020",12,12,13,14,16,16,17,19,21,22,27,27,27,26,26,27,27,28,31,31
"85021",32,35,37,38,39,40,40,42,44,54,61,65,69,71,78,75,73,76,77,77
"85022",35,37,38,39,40,40,41,46,47,48,49,49,50,47,52,53,52,53,56,57
"85023",6-10,6-10,6-10,6-10,14,15,16,18,19,19,21,21,22,22,23,24,24,25,28,29
"85024",6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,12,13,13,13,13,13,15,14,14,14,14
"85027",21,23,23,23,24,26,27,28,27,29,30,32,33,32,33,33,32,32,32,33
"85028",14,14,14,14,14,14,15,16,16,17,17,17,17,18,19,20,19,20,19,19
"85029",30,29,32,32,32,33,35,39,38,40,41,43,44,47,49,49,52,54,59,61
"85031",15,18,21,24,24,25,26,27,32,38,40,46,46,53,66,67,66,67,68,69
"85032",53,55,57,59,60,63,68,69,71,72,73,76,77,81,82,87,84,86,91,91
"85033",25,29,31,32,41,42,49,51,57,63,73,75,79,91,106,111,112,120,129,132
"85034",11,12,13,13,13,13,13,14,17,18,19,19,19,19,20,21,21,23,24,27
"85035",28,32,35,38,41,43,46,51,54,62,75,86,88,95,101,107,104,107,111,119
"85037",37,38,38,42,43,47,50,53,53,59,74,80,84,91,103,103,103,106,111,115
"85040",14,14,16,16,18,18,18,19,19,22,23,26,26,29,30,33,36,36,37,38
"85041",25,28,30,30,34,36,38,46,49,51,54,55,57,63,69,73,75,77,81,83
"85042",25,27,28,29,29,30,32,33,36,39,46,46,49,47,47,50,53,57,61,59
"85043",26,26,26,29,30,30,30,31,32,43,44,45,47,47,49,51,51,57,59,59
"85044",19,20,20,21,21,21,22,22,23,24,25,29,30,32,35,34,34,35,38,40
"85045",6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10
"85048",25,25,25,25,26,27,27,28,30,31,32,35,40,33,39,39,38,39,39,40
"85050",20,20,20,20,20,21,21,22,22,24,25,25,25,24,24,25,25,25,25,25
"85051",24,26,26,26,28,31,32,33,36,37,40,42,45,50,51,52,53,55,58,62
"85053",17,18,18,18,20,20,20,23,23,24,27,28,29,31,33,35,36,35,35,36
"85054",13,13,13,13,13,14,15,15,15,15,15,15,15,13,13,13,14,14,14,13
"85083",6-10,6-10,6-10,6-10,6-10,11,12,12,12,14,14,15,17,15,15,15,15,16,16,16
"85085",14,15,15,15,15,15,15,15,15,15,15,15,16,15,15,15,15,15,17,20
"85086",25,25,25,25,25,25,25,26,27,27,29,29,30,28,30,31,31,31,31,32
"85087",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,6-10,6-10,6-10,1-5,1-5,6-10
"85118",13,13,13,11,6-10,11,11,12,12,6-10,12,12,12,13,13,14,13,15,14,16
"85119",13,13,13,13,13,13,14,14,14,14,14,15,16,16,16,18,20,20,20,20
"85120",21,21,21,22,22,22,23,23,24,24,25,24,24,24,25,25,27,28,27,27
"85121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85122",48,55,58,62,66,68,74,72,79,84,88,89,91,95,97,101,104,105,105,103
"85123",11,11,12,13,14,14,15,16,17,18,18,18,18,19,20,20,20,21,21,21
"85128",6-10,11,13,12,12,12,13,14,14,15,16,17,17,18,18,18,19,19,19,21
"85131",32,34,34,36,39,39,37,35,41,42,46,47,46,61,72,73,75,75,75,75
"85132",41,42,45,45,47,48,53,60,58,65,75,78,90,98,114,118,123,129,128,128
"85135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85137",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"85138",26,26,27,30,30,30,33,37,36,38,39,39,39,39,41,42,42,47,50,52
"85139",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,6-10,6-10,6-10,6-10,6-10,6-10,6-10
"85140",25,27,27,27,29,30,30,32,32,34,36,35,36,36,36,39,39,41,43,44
"85141",0,0,0,0,0,0,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"85142",51,51,52,53,54,54,57,58,59,58,61,63,63,65,68,70,68,70,73,74
"85143",32,32,35,35,36,37,37,37,39,40,39,42,43,43,44,48,50,50,53,54
"85145",1-5,1-5,1-5,1-5,1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85172",0,0,0,0,0,0,0,0,0,0,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"85173",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"85190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85191",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"85192",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"85193",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,6-10,6-10,12,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10
"85194",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,6-10,6-10
"85201",16,18,18,18,18,18,19,19,20,21,21,22,22,25,28,30,32,32,33,33
"85202",86,88,90,94,97,100,106,107,125,133,148,157,162,143,155,157,152,159,148,133
"85203",16,19,18,17,17,17,19,19,22,25,35,38,44,48,54,61,56,56,70,64
"85204",39,40,40,40,43,46,47,52,52,54,56,56,59,61,62,63,65,65,69,69
"85205",46,51,51,53,56,58,59,63,63,64,68,70,71,74,75,75,73,73,74,75
"85206",108,119,120,124,124,124,127,133,137,140,144,148,160,160,174,173,171,173,174,174
"85207",28,28,28,28,28,30,30,31,32,32,33,33,33,36,42,42,43,43,49,48
"85208",22,23,24,24,25,24,24,24,27,28,27,27,27,27,30,31,31,34,35,39
"85209",40,44,45,46,48,48,49,51,52,54,55,56,61,59,62,63,59,60,61,62
"85210",16,17,19,20,20,21,22,25,27,28,31,32,32,31,32,37,37,41,41,45
"85212",27,27,27,27,28,28,29,29,31,33,33,34,35,35,35,36,34,35,36,36
"85213",15,16,17,17,17,17,17,18,19,21,22,22,23,23,23,23,24,25,26,26
"85215",12,12,12,12,12,12,12,13,15,15,17,17,18,17,17,17,15,16,16,16
"85224",67,68,71,72,79,106,112,124,138,151,161,161,162,164,168,172,175,175,176,176
"85225",40,44,46,48,48,50,51,56,62,73,78,78,82,84,84,86,86,87,90,93
"85226",20,18,19,19,19,19,20,20,21,22,22,22,23,21,23,23,23,22,22,23
"85233",29,31,32,32,32,32,32,32,32,33,35,36,35,34,34,34,35,36,38,38
"85234",21,23,24,24,24,24,25,28,32,33,34,39,41,35,38,39,36,36,37,38
"85248",28,28,31,31,35,35,36,42,46,46,47,49,51,48,52,54,50,49,50,48
"85249",32,34,34,34,34,34,34,40,43,43,43,46,48,42,47,48,47,47,48,47
"85250",6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,11,6-10,11,11,6-10,6-10,6-10,6-10
"85251",34,33,36,36,38,36,39,43,43,43,47,51,51,51,52,51,50,51,52,54
"85253",34,34,34,35,36,37,37,40,40,42,43,43,44,42,44,45,45,46,46,46
"85254",31,32,32,32,33,33,33,34,34,37,37,37,37,37,38,37,37,37,37,37
"85255",36,36,37,37,37,39,39,40,42,43,45,48,48,45,44,44,44,44,44,46
"85256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85257",89,96,98,99,99,100,100,106,106,108,107,110,113,116,117,121,119,122,121,122
"85258",20,20,20,20,20,19,19,19,19,19,22,21,20,22,24,22,22,22,21,21
"85259",11,11,11,11,6-10,13,13,14,14,14,13,13,13,15,14,16,14,13,13,13
"85260",31,31,30,30,30,30,30,35,36,39,40,40,41,35,39,38,37,37,37,37
"85262",11,11,12,12,12,12,12,14,14,15,15,15,15,13,13,13,13,13,13,13
"85263",0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"85264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85266",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,6-10,6-10,6-10,6-10,6-10,6-10,1-5,1-5,1-5,1-5,1-5
