"","03/31/20","04/01/20","04/02/20","04/03/20","04/04/20","04/05/20","04/06/20","04/07/20","04/08/20","04/09/20","04/10/20","4/11/20","4/12/20","4/13/20","4/14/20","4/15/20","4/16/20","4/17/20","04/18/20","04/19/20","04/20/20","04/21/20","04/22/20","04/23/20","04/24/20","04/25/20","04/26/20","04/27/20","04/28/20","04/29/20","04/30/20","05/01/20","05/02/20","05/03/20","05/04/20","05/05/20","05/06/20","05/07/20","05/08/20","05/09/20","05/10/20","05/11/20","05/12/20","05/13/20","05/14/20","05/15/20","05/16/20","05/17/20","05/18/20","05/19/20","05/20/20","05/21/20","05/22/20","05/23/20","05/24/20","05/25/20","05/26/20","05/27/20","05/28/20","05/30/20","05/31/20","06/01/20","06/02/20","06/03/20","06/04/20","06/05/20","06/06/20","06/07/20","06/08/20","06/09/20","06/10/20","06/11/20","06/12/20","06/13/20","06/14/20","06/15/20","06/16/20","06/17/20","06/19/20","06/20/20","06/21/20","06/22/20","06/23/20","06/24/20","06/25/20","06/26/20","06/27/20","06/28/20","06/29/20","06/30/20","07/01/20","07/02/20","07/03/20","07/04/20"
"78006",21,21,26,26,26,26,32,32,32,37,37,37,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,47,47,47,47,47,58,58,58,58,63,63,74,74,74,74,95,95,95,95,95,100,100,100,100,110
"78009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78015",1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11,11,11,12,12,14,14,14,18,18,23,23,24,24,27,27,27,27,29,30,30,30,30,33,33,33,33,33
"78023",2,2,2,3,4,5,5,6,6,7,7,8,9,9,8,8,9,9,9,10,11,12,12,12,12,12,13,13,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,18,18,20,20,20,20,20,21,21,21,23,23,23,23,23,23,23,25,25,25,26,26,28,28,28,31,31,35,35,40,40,45,45,45,45,58,62,62,62,62,81,81,81,81,99
"78039",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78052",0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,27,27,27,27,27,37,37,37,37,55
"78069",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,11,11,11,11,11,11,11,13,13,11,11,11,11,11,11,13,13,13,13,13,13,13,9,9,9,9,9,45,45,45,45,54
"78073",1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,11,11,11,11,11,17,17,16,16,16,19,19,18,18,18,19,19,20,20,20,20,26,26,26,26,31,34,34,34,34,58,58,58,58,73
"78101",7,7,7,7,7,7,7,9,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,18,18,19,19,25,25,25,25,26,26,26,26,26,35,35,35,35,48
"78108",0,32,32,0,0,0,0,0,0,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,63,63,63,63,63,63,63,63,63,63,126,158,158,158,158,126,126,126,126,126
"78109",3,4,6,6,8,8,9,9,9,10,11,11,11,11,12,12,12,13,13,13,13,13,13,13,15,15,15,16,17,17,17,17,21,21,21,21,21,21,22,24,24,24,24,24,24,25,25,25,25,26,26,27,27,27,29,30,30,30,30,32,32,32,32,32,32,32,35,35,35,39,39,45,45,45,48,48,50,53,56,56,67,67,67,67,74,82,82,82,82,107,107,107,107,126
"78112",0,0,0,0,1,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,10,10,10,9,9,9,9,9,11,11,12,12,14,14,19,19,19,19,27,28,28,28,28,37,37,37,37,42
"78121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,9
"78148",1,2,2,3,3,3,3,3,3,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,10,10,10,10,11,11,11,11,11,11,12,12,12,12,12,14,14,15,15,15,15,15,18,18,18,20,20,20,21,26,26,31,31,31,31,33,35,35,35,35,48,48,48,48,51
"78150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78152",1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,7,7,7,7,15,15,15,15,15,18,18,18,18,18
"78154",3,3,3,3,3,3,3,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,20,20,20,20,20,20,20,20,20,20,20,20,23,23,25,25,25,28,28,38,38,38,40,40,45,45,48,48,56,56,56,56,63,76,76,76,76,116,116,116,116,124
"78201",3,3,4,5,5,5,5,5,5,6,7,8,8,8,10,12,12,13,14,15,15,19,22,24,24,24,24,24,25,27,27,30,32,32,32,32,32,34,35,37,37,37,37,40,40,43,43,43,44,48,48,51,52,53,55,55,57,57,57,65,65,67,68,68,73,73,82,82,82,100,100,110,110,110,142,142,158,170,180,180,211,211,211,211,247,260,260,260,260,366,366,366,366,415
"78202",4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,7,8,8,8,9,10,10,10,10,10,10,10,10,10,11,12,12,12,12,12,14,14,15,15,15,15,15,17,17,17,17,19,22,22,22,22,22,22,22,22,22,22,24,24,24,25,25,28,28,30,30,30,31,31,32,32,32,36,36,40,42,43,43,45,45,45,45,50,51,51,51,51,64,64,64,64,82
"78203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,5,5,5,8,8,9,9,9,9,10,10,11,11,11,11,11,11,11,11,15,15,15,15,15,16,16,17,17,17,17,17,18,18,18,23,23,23,26,27,27,30,30,30,30,40,40,40,40,40,54,54,54,54,62
"78204",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,8,10,10,10,10,10,13,13,13,13,13,14,14,16,16,16,16,16,16,16,16,21,21,22,22,23,23,30,30,30,30,42,43,43,43,43,72,72,72,72,82
"78205",1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,8,8,8,8,9,9,9,9,14,14,14,14,14,19,19,19,19,18
