"","03/30/20","03/31/20","04/01/20","04/02/20","04/03/20","04/04/20","04/05/20","04/06/20","04/07/20","04/08/20","04/09/20","04/10/20","04/11/20","04/12/20","04/13/20","04/14/20","04/15/20","04/16/20","04/17/20","04/18/20","04/19/20","04/20/20","04/21/20","04/22/20","04/23/20","04/24/20","04/25/20","04/26/20","04/27/20","04/28/20","04/30/20","05/01/20","05/02/20","05/03/20","05/04/20","05/05/20","05/06/20","05/07/20","05/08/20","05/09/20","05/10/20","05/11/20","05/12/20","05/13/20","05/14/20","05/15/20","05/16/20"
"48009",19,23,30,33,36,40,44,48,50,52,53,53,60,62,63,66,68,72,71,71,73,74,75,76,79,81,82,83,84,83,87,97,100,101,101,102,102,101,101,102,102,101,101,100,102,102,101
"48017",10,NA,13,14,15,16,17,18,20,21,22,22,29,31,32,35,37,43,44,43,43,43,45,47,52,52,54,54,55,55,56,59,58,58,58,59,59,58,58,58,58,59,59,59,59,59,60
"48025",23,24,28,30,34,39,42,47,48,52,56,56,59,62,63,68,70,72,69,73,73,74,76,76,76,78,79,79,79,80,83,83,83,84,84,84,84,84,84,85,86,87,87,88,89,90,90
"48030",12,14,20,22,28,32,33,35,37,43,46,46,57,58,59,63,65,66,67,66,66,66,69,71,74,76,77,77,79,84,86,86,89,88,88,89,92,92,92,93,94,93,93,94,95,96,96
"48033",75,84,95,104,124,139,155,172,185,197,212,212,239,241,247,256,266,270,276,279,284,286,290,316,321,332,335,338,343,348,363,367,387,388,389,392,410,409,409,412,415,416,416,416,417,420,419
"48034",62,72,81,95,110,117,124,131,151,156,164,164,181,182,188,191,196,201,205,206,207,211,212,215,216,221,221,221,221,226,238,244,242,240,239,242,242,243,243,244,246,247,247,249,251,253,251
"48067",18,19,23,25,33,36,36,41,47,49,52,52,60,62,63,68,72,72,74,76,76,76,75,78,80,83,83,83,82,81,82,82,82,82,83,84,84,86,87,86,86,86,86,88,93,93,91
"48069",1,NA,2,3,3,3,3,4,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9,9,9,9,10,9,9,8,8,8,9,8,8,8,8,8,8,8,8
"48070",4,4,4,6,8,8,8,8,11,11,11,11,13,14,14,15,16,16,15,16,15,15,15,16,17,17,20,20,20,20,22,23,22,22,22,22,23,24,25,25,25,25,25,25,25,25,25
"48071",35,37,46,53,63,68,74,81,90,94,101,101,115,118,121,134,138,146,151,152,153,154,162,165,169,179,185,186,191,196,202,207,205,202,203,204,204,203,203,205,207,208,208,211,216,218,219
"48072",18,21,24,26,29,31,33,34,38,38,39,39,44,45,48,51,54,55,57,58,58,58,60,60,60,60,61,61,61,62,62,64,66,65,65,65,67,67,66,67,67,68,68,69,70,70,71
"48073",39,43,43,46,51,58,69,75,87,94,103,103,120,121,126,133,140,149,150,150,152,152,154,153,155,157,160,161,163,167,171,176,176,174,174,179,178,181,183,183,183,183,183,184,191,191,193
"48075",89,104,125,139,156,172,190,209,233,247,259,259,281,292,296,303,311,319,327,329,333,336,342,350,356,363,366,372,374,372,382,386,392,394,400,400,399,400,405,407,408,410,410,413,414,414,414
"48076",123,134,149,162,182,200,220,232,254,267,279,279,305,313,318,331,338,352,366,370,371,374,383,393,414,421,424,426,425,425,434,442,443,443,444,447,447,449,450,450,453,452,452,453,461,462,463
"48083",27,31,35,40,48,56,74,81,92,100,108,108,116,122,123,129,132,139,145,150,152,154,157,157,158,158,159,158,158,162,166,171,171,174,172,174,175,174,175,177,179,180,180,184,184,184,184
"48084",13,13,13,16,21,24,26,32,34,34,37,37,40,41,42,43,47,48,49,49,49,49,53,54,55,56,57,57,57,58,63,65,66,65,65,66,66,66,66,66,66,66,66,66,68,68,67
"48085",9,9,10,11,15,19,21,24,27,29,31,31,35,39,40,45,46,49,47,48,49,50,52,52,54,59,60,61,63,67,69,71,72,72,72,73,73,75,76,76,77,77,77,79,79,80,81
"48098",18,19,21,20,21,22,24,28,33,39,41,41,49,51,52,54,55,59,60,60,60,60,63,65,68,69,69,69,70,72,78,80,78,78,79,80,81,83,83,83,84,85,85,86,91,91,90
"48165",3,3,5,5,6,7,7,7,8,8,9,9,9,9,9,9,9,12,12,14,14,14,15,16,16,16,16,18,18,18,19,19,19,19,20,20,20,20,20,20,20,19,19,19,19,19,18
"48167",8,9,13,14,16,21,23,25,26,27,28,28,31,32,32,35,35,35,36,36,36,36,36,37,37,38,38,38,38,39,39,40,39,41,41,41,41,41,41,41,41,41,41,41,41,41,41
"48178",13,17,18,20,21,22,22,25,25,25,27,27,43,45,45,50,53,54,54,56,56,56,57,58,60,60,60,60,62,63,64,66,67,66,66,66,67,68,69,71,72,72,72,73,74,74,73
