,04/06/2020
92154,74
92103,72
92020,63
91911,62
92021,61
91910,52
92105,51
92114,50
92113,47
92019,46
91950,43
92104,41
91977,41
92101,40
92115,36
92116,36
Unknown,36
91913,35
92037,34
92126,33
92128,31
92139,31
92024,30
92109,29
92173,28
91942,27
92102,24
92130,24
92111,23
92117,23
92025,23
92120,21
92127,21
91915,21
92108,20
92027,20
92110,19
92129,19
92064,19
92071,18
92123,17
91902,17
92009,17
92122,15
92124,15
91945,15
92040,15
92078,14
92081,13
92084,13
91941,13
92010,13
92014,13
92119,12
92029,12
92056,12
92067,12
91932,11
92069,11
92083,10
92026,10
92057,10
92065,10
92106,9
91914,9
92008,9
92011,9
92028,9
92054,9
92058,8
92131,6
91978,6
92107,5
92118,5
92075,5
92093,4
91935,4
92007,4
92082,3
92121,3
92136,3
92091,2
92161,2
92061,2
92066,2
91901,1
91905,1
91916,1
92003,1
92004,1
