,"04/16/20","04/17/20","04/18/20","04/19/20","04/20/20","04/21/20","04/22/20","04/23/20","04/24/20","04/25/20","04/26/20","04/27/20","04/28/20","04/29/20","04/30/20","05/01/20","05/02/20","05/04/20","05/05/20","05/06/20","05/07/20","05/08/20","05/09/20","05/10/20","05/11/20","05/12/20","05/13/20"
"68003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68005",1,1,1,2,2,3,5,6,9,12,12,13,12,16,16,18,18,20,22,25,28,34,34,34,36,37,39
"68016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68028",3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
"68037",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68046",12,12,12,12,12,12,13,16,16,20,21,21,22,23,23,23,23,25,26,27,32,34,35,35,38,39,42
"68048",1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,6
"68058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"68113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68123",5,5,5,5,5,5,6,6,7,8,9,10,10,13,13,17,18,20,22,22,22,23,25,27,27,28,32
"68128",9,10,11,11,11,11,11,11,11,11,11,11,11,15,15,18,19,20,23,26,27,29,31,31,35,35,37
"68133",2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,6,7,9,9,11,11,12,13,13
"68136",4,4,4,4,4,4,4,4,4,4,6,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,10
"68138",3,3,3,4,4,4,4,5,6,6,6,6,6,7,7,7,7,7,7,8,9,12,12,12,12,12,13
"68147",7,6,6,6,7,7,7,7,9,9,12,13,14,18,18,20,22,27,28,31,31,33,38,38,38,40,41
"68157",1,1,1,1,1,1,2,2,4,5,7,7,7,9,9,12,13,16,17,18,21,26,26,27,30,30,31
"68304",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"68307",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"68347",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,4,4
"68349",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68366",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"68403",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68407",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"68409",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68413",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68455",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"68462",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68463",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
