,"04/20/20","04/21/20","04/22/20","04/23/20","04/24/20","04/25/20","04/27/20","04/28/20","04/29/20","04/30/20","05/01/20","05/04/20","05/05/20","05/06/20","05/07/20","05/08/20","05/11/20","05/12/20","05/13/20","05/14/20"
"48103",92,94,97,97,126,132,133,135,136,138,141,144,144,144,147,149,152,154,155,155
"48104",67,68,69,69,85,87,88,92,92,92,93,96,96,96,97,98,100,100,100,101
"48105",69,71,70,81,100,101,102,104,104,105,105,107,107,108,109,110,111,111,111,112
"48108",60,61,61,63,74,74,74,77,79,81,85,87,87,89,89,87,88,88,88,89
"48109",3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"48118",29,30,30,32,37,42,40,40,41,42,41,45,45,46,46,47,48,48,48,49
"48130",26,26,26,26,31,32,32,32,32,33,32,32,32,32,33,33,34,34,34,34
"48137",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"48158",6,6,6,6,9,8,8,10,9,9,10,10,10,10,10,10,10,10,10,11
"48160",9,10,10,12,18,18,19,22,22,23,24,24,24,24,24,24,25,25,26,26
"48167",4,4,4,5,5,6,6,6,6,7,6,8,8,8,8,6,6,6,7,7
"48168",4,4,4,4,5,4,4,4,4,4,5,4,4,4,4,5,5,5,4,4
"48170",8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"48176",56,57,58,58,64,65,65,66,66,66,67,67,67,67,67,66,68,69,68,70
"48178",4,5,5,5,5,5,5,5,5,5,7,8,8,8,8,7,7,7,7,7
"48189",7,7,7,7,10,10,12,12,12,12,14,15,15,15,15,34,37,37,37,37
"48191",16,15,15,15,19,16,16,19,19,19,20,21,21,21,21,22,22,22,22,24
"48197",223,229,232,247,303,308,310,317,321,325,326,333,333,335,338,341,349,354,354,358
"48198",191,195,201,221,265,272,277,292,303,317,321,327,327,334,336,337,342,347,348,358
"49236",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
