cityEnglishName,01/24/20,01/25/20,01/26/20,01/27/20,01/28/20,01/29/20,01/30/20,01/31/20,02/01/20,02/02/20,02/03/20,02/04/20,02/05/20,02/06/20,02/07/20,02/08/20,02/09/20,02/10/20,02/11/20,02/12/20,02/13/20,02/14/20,02/15/20,02/16/20,02/17/20,02/18/20,02/19/20,02/20/20,02/21/20,02/22/20,02/23/20,02/24/20,02/25/20,02/26/20,02/27/20,02/28/20,02/29/20,03/01/20,03/02/20,03/03/20,03/04/20,03/05/20,03/06/20,03/07/20,03/08/20,03/09/20,03/10/20,03/11/20,03/12/20,03/13/20,03/14/20,03/15/20,03/16/20,03/17/20,03/18/20,03/19/20,03/20/20,03/21/20,03/22/20,03/23/20,03/24/20,03/25/20,03/26/20,03/27/20,03/28/20,03/29/20,03/30/20,03/31/20,04/01/20,04/02/20,04/03/20,04/04/20,04/05/20,04/06/20,04/07/20,04/08/20,04/09/20,04/10/20,04/11/20,04/12/20,04/13/20,04/14/20
Akesu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ankang,1,1,3,3,8,10,10,10,14,16,17,17,19,21,21,21,21,22,22,22,22,23,24,24,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,NA,26,26,26,NA,26,NA,26,26,26,NA,NA,NA,26,26,26,NA,26,26,NA,NA,26,26,26,NA,NA,NA,NA,NA,26,NA,26,26,NA,26,NA,NA,NA,NA,26,NA,NA,NA
Anqing,1,1,4,8,8,14,18,18,18,43,47,55,55,60,66,71,75,78,80,80,80,81,82,82,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA
Anshan,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,4,4,4,4,NA,NA,NA,4,4,NA,4,NA,4,NA,4,4,4,4,4,NA,4,NA,4,4,NA,NA,4,4,4,4,4,5,5,5,NA,5,5,5,5,5,5,NA,5,5,NA,4
Anshun,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,4,NA,4,NA,NA,NA,4,NA,NA,NA,NA,4,4,4,4,4,4,4,4,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anyang,NA,NA,NA,NA,11,NA,NA,20,24,24,28,33,35,37,40,43,44,45,46,49,49,50,51,51,51,52,52,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,NA,NA,53,53,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,53,NA,53,53,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,53,NA,NA
Area not defined,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,NA
Baicheng,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA
Baise,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,3,3,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baiyin,1,1,NA,1,1,NA,NA,1,1,1,1,1,1,2,2,4,4,4,4,4,4,NA,4,4,4,4,4,4,4,NA,4,4,NA,4,NA,4,NA,4,4,4,4,4,4,4,4,4,4,4,NA,NA,4,4,NA,NA,NA,4,4,4,4,NA,4,NA,4,4,4,4,NA,NA,4,NA,NA,4,NA,4,NA,4,4,NA,NA,NA,NA,NA
Banan District,NA,NA,NA,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,6,NA,6,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baodi District,NA,NA,NA,NA,NA,NA,NA,NA,1,4,5,13,15,15,21,23,29,32,39,39,43,46,46,49,50,52,53,55,57,57,60,60,60,60,60,60,60,60,NA,60,NA,60,NA,NA,NA,60,60,NA,60,NA,NA,60,NA,NA,NA,NA,60,NA,NA,60,60,NA,60,60,60,60,60,60,60,NA,60,60,NA,NA,60,60,60,60,60,60,60,NA
Baoding,NA,1,3,3,3,6,7,11,11,13,13,13,17,17,18,18,21,26,30,31,31,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,NA,NA,NA,NA,32,32,NA,NA,NA,NA,NA,NA,NA,NA,32,32,NA,NA,NA,NA,NA,NA,32,NA,32,32,32,NA,32,NA,32,NA,32,NA,NA,NA,NA,NA
Baoji,NA,NA,NA,NA,3,4,4,4,6,7,8,8,10,10,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,NA,13,13,13,NA,13,NA,13,13,13,NA,NA,NA,13,13,13,NA,13,13,NA,NA,13,13,13,NA,NA,NA,NA,NA,13,NA,13,13,NA,13,NA,NA,NA,NA,13,NA,NA,NA
Baoshan,NA,NA,2,2,4,4,5,5,7,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,9,9,NA,NA,NA,9,9,9,9,NA,NA,NA,9,NA,NA,NA,9,NA,NA,9
Baoshan District,NA,NA,NA,1,1,1,2,2,5,8,10,11,12,15,16,16,17,18,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,NA
Baoting Li and Miao Autonomous County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,3,3,NA,NA,3,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baotou,NA,NA,NA,2,3,3,3,3,3,5,6,6,6,9,9,10,10,11,NA,11,11,11,11,11,11,11,11,11,11,11,11,11,NA,11,11,11,11,11,11,11,11,11,11,11,11,NA,NA,11,NA,NA,NA,NA,11,NA,NA,11,NA,NA,NA,NA,NA,11,11,11,11,11,11,11,11,11,NA,NA,NA,11,11,11,11,11,11,11,11,11
Bayannur,NA,NA,NA,NA,NA,1,1,2,3,3,3,3,3,4,4,4,6,6,NA,6,6,6,8,8,8,8,8,8,8,8,8,8,NA,8,8,8,8,8,8,8,8,8,8,8,8,NA,NA,8,NA,NA,NA,NA,8,NA,NA,8,NA,NA,NA,NA,NA,8,8,8,8,8,8,8,8,8,NA,NA,NA,8,8,8,8,8,8,8,8,8
Bayingolin Mongol Autonomous Prefecture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bazhong,NA,NA,NA,NA,NA,2,2,5,8,8,12,12,15,19,20,21,21,22,22,22,22,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,NA,24,24,24,24,24,24,NA,24,24,NA,24,NA,24,24,NA,24,24,24,24,24,24,24,NA,NA,24,24,NA,24,NA
Beichen District,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,NA,6,NA,6,NA,NA,NA,6,6,NA,6,NA,NA,6,NA,NA,NA,NA,6,NA,NA,6,6,NA,6,6,6,6,6,6,6,NA,6,6,NA,NA,6,6,6,6,6,6,6,NA
