AreaCode,03/01/20,03/02/20,03/03/20,03/04/20,03/05/20,03/06/20,03/07/20,03/08/20,03/09/20,03/10/20,03/11/20,03/12/20,03/13/20,03/14/20,03/15/20,03/16/20,03/17/20,03/18/20,03/19/20,03/20/20,03/21/20,03/22/20,03/23/20,03/24/20,03/25/20,03/26/20,03/27/20,03/28/20,03/29/20,03/30/20,03/31/20,04/01/20,04/02/20,04/03/20,04/04/20,04/05/20,04/06/20,04/07/20,04/08/20,04/09/20,04/10/20,04/11/20,04/12/20,04/13/20,04/14/20
E06000001,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,3,3,6,7,11,12,12,15,17,23,23,29,33,36,49,55,64,64,69,69,74
E06000002,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,7,9,9,17,19,26,33,44,59,74,92,111,126,151,169,196,213,235,237,258,274,291
E06000003,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,1,1,0,1,1,1,2,3,3,3,7,10,10,13,15,25,34,43,51,55,64,75,84,100,112,119,128,139,140,149,157,173
E06000004,NA,NA,NA,NA,0,NA,0,0,0,0,2,2,2,2,2,2,3,6,9,9,10,11,12,12,14,16,24,29,34,43,47,60,70,77,81,108,117,123,143,152,173,177,189,192,201
E06000005,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,2,2,2,1,2,2,2,3,3,3,3,4,5,11,14,15,16,23,24,30,32,32,45,52,55,77,95,109,120,130,130,143
E06000006,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,3,4,4,5,7,7,7,8,8,8,10,12,16,19,25,32,41,51,61,75,95,107,127,148,159,164,183,194,207
E06000007,NA,NA,NA,NA,0,NA,0,0,0,0,1,1,1,1,1,1,3,4,4,4,4,4,7,8,9,10,15,19,21,22,32,40,65,82,97,122,138,162,182,211,241,259,301,326,343
E06000008,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,6,7,10,12,14,20,25,37,43,52,63,71,86,92,95,106,124,139,152,164
E06000009,NA,NA,NA,NA,0,NA,0,0,0,0,0,2,2,1,3,2,3,4,3,5,5,6,6,8,8,8,9,10,10,18,18,27,28,41,50,66,72,85,94,98,108,119,131,149,162
E06000010,NA,NA,NA,NA,1 to 4,NA,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,4,5,5,9,11,11,14,18,21,28,31,38,38,58,74,85,97,112,135,135
E06000011,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,1,2,3,4,9,10,10,15,15,15,16,16,19,21,23,26,31,35,38,46,56,72,78,88,96,97,123,150,174,187,204,220,223
E06000012,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,5,5,8,16,20,21,23,23,29,36,43,49,49,50,58,61,64,64,75,79
E06000013,NA,NA,NA,NA,0,NA,0,0,0,0,1,1,1,1,2,1,1,1,1,1,2,2,3,5,5,6,6,7,13,15,17,23,24,29,43,51,62,62,66,71,77,91,95,125,124
E06000014,NA,NA,NA,NA,1 to 4,NA,3,3,3,3,3,3,4,4,4,4,3,4,5,6,8,10,10,11,14,14,17,19,21,30,32,35,36,57,57,71,75,75,87,101,111,119,125,127,129
E06000015,NA,NA,NA,NA,0,NA,0,0,0,0,1,1,1,3,5,4,0,11,9,12,18,23,23,37,40,58,77,100,105,118,122,143,167,187,194,239,263,263,300,303,313,321,343,354,367
E06000016,NA,NA,NA,NA,0,NA,0,0,0,0,0,2,2,2,2,1,0,3,5,11,14,19,22,24,32,45,61,65,65,65,89,101,107,149,159,195,211,211,250,287,305,331,363,384,409
E06000017,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,4,5,6,6,6,6,6,8,8,9,9,9,9,11
