,4/7/20,4/8/20,4/9/20
60th Medical Group - Travis AFB (AKA David Grant USAF Medical Center),1.0,1.0,NA
633rd Medical Group - USAF Hospital Langley,0.0,0.0,NA
673d Medical Group - Joint Base Elmendorf-Richardson,0.0,0.0,NA
81st Medical Group - Keesler AFB,0.0,0.0,NA
88th Medical Group - Wright-Patterson Medical Center,0.0,0.0,NA
96th Medical Group - Eglin AFB,0.0,0.0,NA
99th Medical Group - Mike OCallaghan Military Medical Center,0.0,0.0,NA
AHMC Anaheim Regional Medical Center,5.0,5.0,NA
AHN Brentwood Neighborhood Hospital,NA,NA,NA
AHN Grove City (FKA Grove City Medical Center),2.0,2.0,NA
AHN Hempfield Neighborhood Hospital,0.0,0.0,NA
AMG Physical Rehabilitation Hospital - Covington,2.0,2.0,NA
AMG Specialty Hospital - Albuquerue,2.0,2.0,NA
AMG Specialty Hospital - Central Indiana Hancock,0.0,0.0,NA
AMG Specialty Hospital - Houma,3.0,3.0,NA
AMG Specialty Hospital - Lafayette,2.0,2.0,NA
AMG Specialty Hospital - Las Vegas (FKA Progressive Hospital),3.0,3.0,NA
AMG Specialty Hospital - Mercy,0.0,0.0,NA
AMG Specialty Hospital - Muncie (FKA Integra Specialty Hospital),4.0,4.0,NA
AMG Specialty Hospital - Zachary (FKA AMG Specialty Hospital - Feliciana),2.0,2.0,NA
AMITA Health Adventist Medical Center Bolingbrook,3.0,3.0,NA
AMITA Health Adventist Medical Center GlenOaks,3.0,3.0,NA
AMITA Health Adventist Medical Center Hinsdale,4.0,4.0,NA
AMITA Health Adventist Medical Center La Grange,4.0,4.0,NA
AMITA Health Alexian Brothers Behavioral Health Hospital Hoffman Estates,0.0,0.0,NA
AMITA Health Alexian Brothers Medical Center Elk Grove Village,6.0,6.0,NA
AMITA Health Holy Family Medical Center Des Plaines (FKA Presence Holy Family Medical Center),7.0,7.0,NA
AMITA Health Mercy Medical Center Aurora (FKA Presence Mercy Medical Center),6.0,6.0,NA
AMITA Health Resurrection Medical Center Chicago (FKA Presence Resurrection Medical Center),13.0,13.0,NA
