index,zip_code,coordinates,city,county,population,people_per_sqr_mile,national_rank,source
1,78207,"29.422300, -98.524805","San Antonio, Texas",Bexar,56348,"7,554.55",#909,http://zipatlas.com/us/tx/san-antonio/zip-code-comparison/population-density.htm
2,78225,"29.387937, -98.526571","San Antonio, Texas",Bexar,13553,"6,850.89","#1,078",http://zipatlas.com/us/tx/san-antonio/zip-code-comparison/population-density.htm
3,78201,"29.469087, -98.529395","San Antonio, Texas",Bexar,47387,"6,664.58","#1,124",http://zipatlas.com/us/tx/san-antonio/zip-code-comparison/population-density.htm
4,78237,"29.420924, -98.566465","San Antonio, Texas",Bexar,36273,"5,270.83","#1,597",http://zipatlas.com/us/tx/san-antonio/zip-code-comparison/population-density.htm
5,78228,"29.460646, -98.571279","San Antonio, Texas",Bexar,58091,"5,240.63","#1,608",http://zipatlas.com/us/tx/san-antonio/zip-code-comparison/population-density.htm
6,78210,"29.395737, -98.466616","San Antonio, Texas",Bexar,37345,"5,148.26","#1,654",http://zipatlas.com/us/tx/san-antonio/zip-code-comparison/population-density.htm
7,78208,"29.439930, -98.458718","San Antonio, Texas",Bexar,5079,"5,130.21","#1,663",http://zipatlas.com/us/tx/san-antonio/zip-code-comparison/population-density.htm
8,78202,"29.428207, -98.461236","San Antonio, Texas",Bexar,11746,"5,026.90","#1,704",http://zipatlas.com/us/tx/san-antonio/zip-code-comparison/population-density.htm
9,78250,"29.510075, -98.663687","San Antonio, Texas",Bexar,66601,"4,905.85","#1,760",http://zipatlas.com/us/tx/san-antonio/zip-code-comparison/population-density.htm
10,78213,"29.520879, -98.523369","San Antonio, Texas",Bexar,39477,"4,671.63","#1,891",http://zipatlas.com/us/tx/san-antonio/zip-code-comparison/population-density.htm
11,78229,"29.505502, -98.577033","San Antonio, Texas",Bexar,27585,"4,642.36","#1,908",http://zipatlas.com/us/tx/san-antonio/zip-code-comparison/population-density.htm
12,78212,"29.464611, -98.493653","San Antonio, Texas",Bexar,31220,"4,625.20","#1,922",http://zipatlas.com/us/tx/san-antonio/zip-code-comparison/population-density.htm
13,78239,"29.516184, -98.361849","San Antonio, Texas",Bexar,24868,"4,357.77","#2,096",http://zipatlas.com/us/tx/san-antonio/zip-code-comparison/population-density.htm
14,78204,"29.404404, -98.505028","San Antonio, Texas",Bexar,11905,"4,332.32","#2,116",http://zipatlas.com/us/tx/san-antonio/zip-code-comparison/population-density.htm
15,78240,"29.525292, -98.604382","San Antonio, Texas",Bexar,44281,"4,124.95","#2,251",http://zipatlas.com/us/tx/san-antonio/zip-code-comparison/population-density.htm
16,78203,"29.415255, -98.460204","San Antonio, Texas",Bexar,5845,"4,073.78","#2,288",http://zipatlas.com/us/tx/san-antonio/zip-code-comparison/population-density.htm
17,78209,"29.488728, -98.457602","San Antonio, Texas",Bexar,40675,"3,848.79","#2,440",http://zipatlas.com/us/tx/san-antonio/zip-code-comparison/population-density.htm
18,78230,"29.545289, -98.556564","San Antonio, Texas",Bexar,35573,"3,362.17","#2,855",http://zipatlas.com/us/tx/san-antonio/zip-code-comparison/population-density.htm
19,78248,"29.590028, -98.525262","San Antonio, Texas",Bexar,13346,"3,321.68","#2,893",http://zipatlas.com/us/tx/san-antonio/zip-code-comparison/population-density.htm
20,78242,"29.349577, -98.615204","San Antonio, Texas",Bexar,28786,"3,180.00","#3,032",http://zipatlas.com/us/tx/san-antonio/zip-code-comparison/population-density.htm
21,78217,"29.538074, -98.415198","San Antonio, Texas",Bexar,32502,"2,981.79","#3,219",http://zipatlas.com/us/tx/san-antonio/zip-code-comparison/population-density.htm
22,78244,"29.474773, -98.355822","San Antonio, Texas",Bexar,17672,"2,865.46","#3,363",http://zipatlas.com/us/tx/san-antonio/zip-code-comparison/population-density.htm
23,78232,"29.588170, -98.474280","San Antonio, Texas",Bexar,33743,"2,798.59","#3,436",http://zipatlas.com/us/tx/san-antonio/zip-code-comparison/population-density.htm
24,78247,"29.580505, -98.407494","San Antonio, Texas",Bexar,39773,"2,709.29","#3,534",http://zipatlas.com/us/tx/san-antonio/zip-code-comparison/population-density.htm
25,78211,"29.342535, -98.570052","San Antonio, Texas",Bexar,31214,"2,699.50","#3,550",http://zipatlas.com/us/tx/san-antonio/zip-code-comparison/population-density.htm
26,78233,"29.553465, -98.361875","San Antonio, Texas",Bexar,36065,"2,691.19","#3,561",http://zipatlas.com/us/tx/san-antonio/zip-code-comparison/population-density.htm
27,78216,"29.538739, -98.491258","San Antonio, Texas",Bexar,37282,"2,629.73","#3,633",http://zipatlas.com/us/tx/san-antonio/zip-code-comparison/population-density.htm
